srcip;srcfl;srcpck;simip;simfl;simpck;score
 147.250.240.175;357834;  506518;  147.250.241.17; 5416;  417730;363430.5376106967
 147.250.240.209;69214;18578402; 147.250.230.241;  150; 3494036;15084524.104460571
  147.250.240.29;44053;   97058;    42.56.57.156;21025;   84157;26395.541006010844
  147.250.241.18;39129; 3093861; 147.250.230.241;  150; 3494036;402068.8909453205
    42.56.57.156;21025;   84157;  147.250.240.26; 4159;   85086;16891.565853999444
  147.250.115.40;14743;   20469;dffe:f8..0:ff:83; 8802;   16050;7404.258369343955
  147.250.240.30;12088;   61758;  178.36.183.139; 1087;   61915;11002.12025020632
dffe:f8..0:ff:83; 8802;   16050;  147.250.115.40;14743;   20469;7404.258369343955
  147.250.219.33; 7476;    7579;  147.250.216.21; 5669;    5807;2530.8561792405353
 147.250.231.250; 7366;   34936;   147.250.226.1; 1247;   35096;6121.091487635192
 147.250.230.227; 6183;  143102;  147.250.241.96; 4306;  148572;5783.0812721247485
  147.250.216.21; 5669;    5807;  147.250.219.33; 7476;    7579;2530.8561792405353
  147.250.241.17; 5416;  417730;  101.170.16.205;    2;  401571;17041.850750432008
  147.250.241.87; 5396;  199800;   163.44.174.90;   43;  199506;5361.067524290288
  147.250.28.225; 4772;  159479;   67.195.24.152;    3;  165498;7679.304786242046
  147.250.241.96; 4306;  148572; 147.250.230.227; 6183;  143102;5783.0812721247485
  147.250.240.26; 4159;   85086;  147.250.241.46; 1585;   86251;2825.367409736298
   84.243.149.20; 3333;  113664;   165.248.3.213;    4;  115115;3631.479312897156
   104.7.255.207; 3074;    3087;   123.145.38.62; 2239;    2239;1190.0962145977946
   123.145.38.62; 2239;    2239;    116.73.58.14; 2030;    2030;295.57063453597686
    116.73.58.14; 2030;    2030;   90.182.31.196; 1893;    1894;193.04144632694815
 147.250.146.183; 1942;    2608;   123.145.38.62; 2239;    2239;473.67710520986765
   90.182.31.196; 1893;    1894;    116.73.58.14; 2030;    2030;193.04144632694815
  79.218.186.131; 1783;   23754;   66.249.86.102;  419;   23243;1456.5771520932217
  85.129.158.200; 1590;  105228; 102.198.120.170;   28;  110807;5793.5382108000285
  147.250.241.46; 1585;   86251;   113.3.252.254;    4;   84696;2217.563076893192
  147.250.241.39; 1538;   53402;   37.236.198.92;    6;   53852;1596.7228939299393
 147.250.230.231; 1537;   30364;   167.226.85.43;    1;   30275;1538.5762899512004
 147.250.218.120; 1447;    8551; 147.250.231.232;  466;    8766;1004.2838244241515
  147.250.219.34; 1391;    7173;  147.250.199.35;  371;    7055;1026.8028048267106
   77.223.60.199; 1290;    1292;   92.79.218.212;  917;     917;528.9177629840011
   93.125.109.70; 1283;   22380; 147.250.240.147;  479;   22383;804.0055969954439
   147.250.226.1; 1247;   35096;    123.61.73.21;   25;   35193;1225.8437910272255
  147.250.240.35; 1102;    4418;  219.78.185.239;  837;    4307;287.30819688968154
 147.250.218.167; 1093;  173975;  165.42.204.200;    2;  169520;4586.644307116042
  178.36.183.139; 1087;   61915;2aff:e7..fa:b4d5;    2;   61977;1086.7699848634024
 147.250.240.207;  982;    3949; 147.250.218.125;  640;    3957;342.0935544555027
 147.250.226.160;  953;   11504; 147.250.226.252;  564;   11292;443.0180583226828
   92.79.218.212;  917;     917;    195.239.5.54;  540;    1080;410.7286208678426
  79.218.186.234;  901;   15710;   66.249.86.196;  275;   15389;703.5033759691562
    91.121.92.96;  871;    4726;  147.250.240.35; 1102;    4418;385.0
  147.250.241.26;  847;   14027; 147.250.230.207;  827;   13729;298.67038688159226
  219.78.185.239;  837;    4307; 147.250.240.168;  664;    4350;178.2638493918495
 147.250.230.207;  827;   13729;  147.250.241.26;  847;   14027;298.67038688159226
  147.250.219.36;  808;   17415;  83.225.253.139;   49;   17394;759.2904582569176
  147.250.241.74;  803;   50722;  206.169.105.99;   18;   51063;855.8656436614335
 178.196.184.206;  751;    2970;  91.238.148.211;  730;    2890;82.71033792700887
  147.250.240.37;  738;    2701;   212.226.57.43;  588;    2597;182.5267103741258
  91.238.148.211;  730;    2890; 178.196.184.206;  751;    2970;82.71033792700887
 147.250.240.168;  664;    4350;  219.78.185.239;  837;    4307;178.2638493918495
   76.190.220.81;  642;    3856; 147.250.218.125;  640;    3957;101.01980003939822
 147.250.218.125;  640;    3957;   76.190.220.81;  642;    3856;101.01980003939822
dffe:f8..:ff00:5;  611;    5286;   66.249.82.218;  266;    5401;363.6619309193636
   212.226.57.43;  588;    2597; 147.250.218.121;  443;    2564;148.70776711389354
 147.250.226.252;  564;   11292;    66.249.86.60;  298;   11211;278.0593461835081
 147.250.231.200;  563;    1616;   88.59.102.199;  453;    1671;122.98373876248843
dffe:f8..:0:ff3c;  561; 1888638; 147.250.240.237;   11; 1758459;130180.16185655938
   66.249.82.149;  545;    3588; 147.250.208.122;  319;    3675;242.1672975444868
    195.239.5.54;  540;    1080;    173.59.63.21;  421;    1068;119.60351165413162
  189.12.144.227;  535;     535;    162.97.60.16;  504;     566;43.840620433565945
    80.25.86.193;  522;   32874;  147.250.231.72;  188;   32876;334.0059879702758
    162.97.60.16;  504;     566;  189.12.144.227;  535;     535;43.840620433565945
    95.189.152.3;  497;     497;  189.12.144.227;  535;     535;53.74011537017761
    86.70.121.90;  494;    1976;   76.193.21.243;  472;    1888;90.70832376358854
 147.250.240.147;  479;   22383;     32.175.3.69;   11;   22330;470.99150735443203
   76.193.21.243;  472;    1888;    86.70.121.90;  494;    1976;90.70832376358854
 147.250.231.232;  466;    8766;    66.249.86.61;  317;    8875;184.6131089603336
    66.249.86.42;  463;   16645; 147.250.226.150;  304;   16670;160.9534094078159
   88.59.102.199;  453;    1671; 147.250.231.200;  563;    1616;122.98373876248843
  79.218.186.216;  447;   10622;   66.249.86.240;  306;   10753;192.46298345396187
 147.250.231.126;  447;    1303;    162.97.62.44;  362;    1448;168.0773631397161
 147.250.218.121;  443;    2564;  147.250.214.40;  347;    2545;97.86214794290998
    41.196.3.206;  429;     429;  194.212.67.211;  376;     398;61.40032573203501
   66.249.86.194;  429;    8014;   66.249.86.243;  285;    8111;173.62315513778685
    173.59.63.21;  421;    1068;    195.239.5.54;  540;    1080;119.60351165413162
   66.249.86.102;  419;   23243;  103.195.200.70;    1;   23155;427.16273245684715
 147.250.208.112;  410;    7622;   66.249.86.224;  321;    7597;92.44457799135652
  147.250.244.87;  396;   10159;   66.249.86.236;  309;   10180;89.49860334105779
   66.249.86.218;  386;   12859;    66.249.86.56;  384;   12829;30.066592756745816
    66.249.86.56;  384;   12829;   66.249.86.218;  386;   12859;30.066592756745816
  194.212.67.211;  376;     398;    61.58.33.221;  349;     349;55.94640292279746
  147.250.199.35;  371;    7055;   66.249.86.206;  261;    6943;156.98407562552325
   66.249.86.234;  363;   13451;   66.249.86.201;  291;   13319;150.3595690337
    162.97.62.44;  362;    1448;   212.1.150.125;  272;    1541;129.41792766073794
   66.249.86.199;  357;    8417;  147.250.241.35;  278;    8420;79.05694150420949
    61.58.33.221;  349;     349;  147.250.214.33;  348;     349;1.0
  147.250.214.33;  348;     349;    61.58.33.221;  349;     349;1.0
  147.250.214.40;  347;    2545; 147.250.218.121;  443;    2564;97.86214794290998
    31.19.166.50;  346;     346;  147.250.214.33;  348;     349;3.605551275463989
 147.250.231.201;  340;    3733; 147.250.208.122;  319;    3675;61.68468205316454
  147.250.214.41;  335;     467;  147.250.219.41;  290;     457;46.09772228646444
   93.136.228.83;  334;   10981;    66.249.86.58;  308;   10948;42.01190307520001
  147.250.214.28;  330;     330;    31.19.166.50;  346;     346;22.627416997969522
   66.249.86.197;  329;   13846;    66.249.86.52;  316;   13843;13.341664064126334
   66.249.86.225;  327;   11458;   66.249.86.227;  294;   11449;34.20526275297414
  147.250.240.40;  324;    7343;   66.249.86.198;  300;    7463;122.37646832622684
   66.249.86.232;  323;   11621;    66.249.86.62;  297;   11722;104.29285689825551
   66.249.86.224;  321;    7597;   66.249.86.202;  273;    7578;51.62363799656123
 147.250.208.122;  319;    3675; 147.250.231.201;  340;    3733;61.68468205316454
   66.249.86.237;  318;   16443; 147.250.226.150;  304;   16670;227.43130831088317
    66.249.86.61;  317;    8875;    66.249.86.46;  220;    8939;116.21101496846157
    66.249.86.52;  316;   13843;   66.249.86.197;  329;   13846;13.341664064126334
   66.249.86.239;  311;   15272;   66.249.86.196;  275;   15389;122.41323457861898
    66.249.86.57;  311;    7848;    66.249.86.55;  302;    7758;90.44888059008801
  147.250.214.34;  310;     393;  147.250.214.33;  348;     349;58.137767414994535
   66.249.86.241;  309;   19884; 147.250.240.189;   45;   20126;358.13405311419353
   66.249.86.236;  309;   10180;  147.250.244.87;  396;   10159;89.49860334105779
    66.249.86.58;  308;   10948;   93.136.228.83;  334;   10981;42.01190307520001
  147.250.241.71;  308;   47716;  205.204.137.51;   11;   46611;1144.217636640862
  152.205.44.153;  307;    2166;  198.50.176.182;  265;    2096;81.6333265278342
   147.250.240.0;  307;    1867;  152.205.46.180;  244;    1777;109.85900054160332
   66.249.86.240;  306;   10753;  79.218.186.216;  447;   10622;192.46298345396187
   66.249.86.238;  306;   12849;    66.249.86.56;  384;   12829;80.52328855678958
 147.250.226.150;  304;   16670;    66.249.86.42;  463;   16645;160.9534094078159
    66.249.86.55;  302;    7758;    66.249.86.57;  311;    7848;90.44888059008801
  147.236.115.82;  300;    2873; 147.250.226.170;  263;    2954;89.05054744357274
   66.249.86.198;  300;    7463;    66.249.86.50;  211;    7433;93.92017887546851
   66.249.86.195;  299;    6740;   66.249.86.206;  261;    6943;206.52602741543257
    66.249.86.53;  299;   14268;   66.249.86.231;  274;   14199;73.38937252763509
   66.249.86.233;  298;   12287;   66.249.86.205;  287;   12345;59.033888572581766
    66.249.86.60;  298;   11211;   66.249.86.230;  286;   11061;150.47923444781344
2001:71..:0:fffe;  298;     318;  212.81.227.228;  289;     289;30.364452901377952
    66.249.86.62;  297;   11722;   66.249.86.232;  323;   11621;104.29285689825551
   66.249.86.227;  294;   11449;   66.249.86.225;  327;   11458;34.20526275297414
   66.249.86.201;  291;   13319;   66.249.86.234;  363;   13451;150.3595690337
  147.250.219.41;  290;     457;  147.250.214.41;  335;     467;46.09772228646444
  212.81.227.228;  289;     289;  81.158.234.248;  272;     272;24.041630560342615
    66.249.86.54;  287;   13642;    66.249.86.52;  316;   13843;203.08126452235814
   66.249.86.205;  287;   12345;   66.249.86.233;  298;   12287;59.033888572581766
   66.249.86.230;  286;   11061;   93.136.228.83;  334;   10981;93.29523031752481
   66.249.86.204;  286;    9003;   66.249.86.229;  274;    9064;62.16912416947821
   66.249.86.235;  285;    8512;  147.250.241.35;  278;    8420;92.26592003551474
   66.249.86.243;  285;    8111;    66.249.86.48;  218;    7955;169.77926846349644
   66.249.86.203;  284;    9380;   66.249.86.207;  267;    9223;157.91770008456936
 213.232.150.208;  284;    6053;  147.250.241.64;  191;    6127;118.84864324004712
   66.249.86.226;  284;   10424;  147.250.241.98;  233;   10357;84.20213774008353
    66.249.86.59;  284;    5915; 213.232.150.208;  284;    6053;138.0
    81.50.159.11;  280; 1329813; 147.250.240.236;   11; 1755325;425512.0850281458
  147.250.241.35;  278;    8420;   66.249.86.199;  357;    8417;79.05694150420949
   66.249.86.228;  275;   12472;   66.249.86.205;  287;   12345;127.56566936288148
   66.249.86.196;  275;   15389;   66.249.86.239;  311;   15272;122.41323457861898
   66.249.86.231;  274;   14199;    66.249.86.53;  299;   14268;73.38937252763509
   66.249.86.229;  274;    9064;   66.249.86.204;  286;    9003;62.16912416947821
